Comente,Comente_texto,texto_limpo,tokens,tokens_sem_stopwords,tokens_stemmed,texto_final
"B.B. vocês não apoiam nada disso por livre e espontânea vontade, isso faz parte de uma agenda que vocês seguem, então, vamos ser ao menos mais transparentes?","B.B. vocês não apoiam nada disso por livre e espontânea vontade, isso faz parte de uma agenda que vocês seguem, então, vamos ser ao menos mais transparentes?",bb vocês não apoiam nada disso por livre espontânea vontade isso faz parte uma agenda que vocês seguem então vamos ser menos mais transparentes,"['bb', 'vocês', 'não', 'apoiam', 'nada', 'disso', 'por', 'livre', 'espontânea', 'vontade', 'isso', 'faz', 'parte', 'uma', 'agenda', 'que', 'vocês', 'seguem', 'então', 'vamos', 'ser', 'menos', 'mais', 'transparentes']","['bb', 'apoiam', 'nada', 'disso', 'livre', 'espontânea', 'vontade', 'faz', 'parte', 'agenda', 'seguem', 'então', 'vamos', 'menos', 'transparentes']","['bb', 'apo', 'nad', 'diss', 'livr', 'espontâne', 'vontad', 'faz', 'part', 'agend', 'segu', 'ent', 'vam', 'menos', 'transpar']",bb apo nad diss livr espontâne vontad faz part agend segu ent vam menos transpar
índio de faz de conta,índio de faz de conta,índio faz conta,"['índio', 'faz', 'conta']","['índio', 'faz', 'conta']","['índi', 'faz', 'cont']",índi faz cont
.,.,,[],[],[],
Piada @bancodobrasil vocês financiaram o fazendeiro que desmatou com agente laranja 10 milhões para desmatamento @greenpeacebrasil  @alok,Piada @bancodobrasil vocês financiaram o fazendeiro que desmatou com agente laranja 10 milhões para desmatamento @greenpeacebrasil  @alok,piada bancodobrasil vocês financiaram fazendeiro que desmatou com agente laranja milhões para desmatamento greenpeacebrasil alok,"['piada', 'bancodobrasil', 'vocês', 'financiaram', 'fazendeiro', 'que', 'desmatou', 'com', 'agente', 'laranja', 'milhões', 'para', 'desmatamento', 'greenpeacebrasil', 'alok']","['piada', 'bancodobrasil', 'financiaram', 'fazendeiro', 'desmatou', 'agente', 'laranja', 'milhões', 'desmatamento', 'greenpeacebrasil', 'alok']","['pi', 'bancodobrasil', 'financi', 'fazend', 'desmat', 'agent', 'laranj', 'milhã', 'desmat', 'greenpeacebrasil', 'alok']",pi bancodobrasil financi fazend desmat agent laranj milhã desmat greenpeacebrasil alok
Faz o L,Faz o L,faz,['faz'],['faz'],['faz'],faz
Ótimo vídeo sobre sustentabilidade sobre Amazonas isso ae ta pegando fogo 🔥🔥,Ótimo vídeo sobre sustentabilidade sobre Amazonas isso ae ta pegando fogo :fire::fire:,ótimo vídeo sobre sustentabilidade sobre amazonas isso pegando fogo firefire,"['ótimo', 'vídeo', 'sobre', 'sustentabilidade', 'sobre', 'amazonas', 'isso', 'pegando', 'fogo', 'firefire']","['ótimo', 'vídeo', 'sobre', 'sustentabilidade', 'sobre', 'amazonas', 'pegando', 'fogo', 'firefire']","['ótim', 'víde', 'sobr', 'sustent', 'sobr', 'ama', 'peg', 'fog', 'firef']",ótim víde sobr sustent sobr ama peg fog firef
Top de mais 👏👏👏👏🙌🔥❤️,Top de mais :clapping_hands::clapping_hands::clapping_hands::clapping_hands::raising_hands::fire::red_heart:,top mais clapping_handsclapping_handsclapping_handsclapping_handsraising_handsfirered_heart,"['top', 'mais', 'clapping_handsclapping_handsclapping_handsclapping_handsraising_handsfirered_heart']","['top', 'clapping_handsclapping_handsclapping_handsclapping_handsraising_handsfirered_heart']","['top', 'clapping_handsclapping_handsclapping_handsclapping_handsraising_handsfirered_heart']",top clapping_handsclapping_handsclapping_handsclapping_handsraising_handsfirered_heart
Amem e isso vamos pra cima com fé fé Jesus 👏🙌,Amem e isso vamos pra cima com fé fé Jesus :clapping_hands::raising_hands:,amem isso vamos pra cima com jesus clapping_handsraising_hands,"['amem', 'isso', 'vamos', 'pra', 'cima', 'com', 'jesus', 'clapping_handsraising_hands']","['amem', 'vamos', 'pra', 'cima', 'jesus', 'clapping_handsraising_hands']","['am', 'vam', 'pra', 'cim', 'jesu', 'clapping_handsraising_hand']",am vam pra cim jesu clapping_handsraising_hand
Hipocrisia gratuita,Hipocrisia gratuita,hipocrisia gratuita,"['hipocrisia', 'gratuita']","['hipocrisia', 'gratuita']","['hipocris', 'gratuit']",hipocris gratuit
Só quem convive com eles sabe da realidade que é difícil e como são desvalorizados. Que Deus traga luz aos que pensam que o governo/instituições estão fazendo algo por eles.,Só quem convive com eles sabe da realidade que é difícil e como são desvalorizados. Que Deus traga luz aos que pensam que o governo/instituições estão fazendo algo por eles.,quem convive com eles sabe realidade que difícil como são desvalorizados que deus traga luz aos que pensam que governoinstituições estão fazendo algo por eles,"['quem', 'convive', 'com', 'eles', 'sabe', 'realidade', 'que', 'difícil', 'como', 'são', 'desvalorizados', 'que', 'deus', 'traga', 'luz', 'aos', 'que', 'pensam', 'que', 'governoinstituições', 'estão', 'fazendo', 'algo', 'por', 'eles']","['convive', 'sabe', 'realidade', 'difícil', 'desvalorizados', 'deus', 'traga', 'luz', 'pensam', 'governoinstituições', 'fazendo', 'algo']","['conviv', 'sab', 'real', 'difícil', 'desvalor', 'deu', 'trag', 'luz', 'pens', 'governoinstitu', 'faz', 'alg']",conviv sab real difícil desvalor deu trag luz pens governoinstitu faz alg
🙌🏻🙏🏻,:raising_hands_light_skin_tone::folded_hands_light_skin_tone:,raising_hands_light_skin_tonefolded_hands_light_skin_tone,['raising_hands_light_skin_tonefolded_hands_light_skin_tone'],['raising_hands_light_skin_tonefolded_hands_light_skin_tone'],['raising_hands_light_skin_tonefolded_hands_light_skin_ton'],raising_hands_light_skin_tonefolded_hands_light_skin_ton
Quem nos respeita...somos obrigado ao mesmo...assim agradecemos pelo próprio pedido de ajuda.... obrigado ❤️🙌👏😍,Quem nos respeita...somos obrigado ao mesmo...assim agradecemos pelo próprio pedido de ajuda.... obrigado :red_heart::raising_hands::clapping_hands::smiling_face_with_heart-eyes:,quem nos respeitasomos obrigado mesmoassim agradecemos pelo próprio pedido ajuda obrigado red_heartraising_handsclapping_handssmiling_face_with_hearteyes,"['quem', 'nos', 'respeitasomos', 'obrigado', 'mesmoassim', 'agradecemos', 'pelo', 'próprio', 'pedido', 'ajuda', 'obrigado', 'red_heartraising_handsclapping_handssmiling_face_with_hearteyes']","['respeitasomos', 'obrigado', 'mesmoassim', 'agradecemos', 'próprio', 'pedido', 'ajuda', 'obrigado', 'red_heartraising_handsclapping_handssmiling_face_with_hearteyes']","['respeitas', 'obrig', 'mesmoassim', 'agradec', 'própri', 'ped', 'ajud', 'obrig', 'red_heartraising_handsclapping_handssmiling_face_with_heartey']",respeitas obrig mesmoassim agradec própri ped ajud obrig red_heartraising_handsclapping_handssmiling_face_with_heartey
👏👏👏👏,:clapping_hands::clapping_hands::clapping_hands::clapping_hands:,clapping_handsclapping_handsclapping_handsclapping_hands,['clapping_handsclapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_handsclapping_hand'],clapping_handsclapping_handsclapping_handsclapping_hand
8_8,8_8,8_8,['8_8'],['8_8'],['8_8'],8_8
👏👏,:clapping_hands::clapping_hands:,clapping_handsclapping_hands,['clapping_handsclapping_hands'],['clapping_handsclapping_hands'],['clapping_handsclapping_hand'],clapping_handsclapping_hand
"Da pra vê a consciência do seu povo quanto as crianças, quando passo na região de Grajau região do Maranhão vai pqp!","Da pra vê a consciência do seu povo quanto as crianças, quando passo na região de Grajau região do Maranhão vai pqp!",pra consciência seu povo quanto crianças quando passo região grajau região maranhão vai pqp,"['pra', 'consciência', 'seu', 'povo', 'quanto', 'crianças', 'quando', 'passo', 'região', 'grajau', 'região', 'maranhão', 'vai', 'pqp']","['pra', 'consciência', 'povo', 'quanto', 'crianças', 'passo', 'região', 'grajau', 'região', 'maranhão', 'vai', 'pqp']","['pra', 'consci', 'pov', 'quant', 'crianç', 'pass', 'reg', 'grajau', 'reg', 'maranh', 'vai', 'pqp']",pra consci pov quant crianç pass reg grajau reg maranh vai pqp
Verdade guerreiro!!!,Verdade guerreiro!!!,verdade guerreiro,"['verdade', 'guerreiro']","['verdade', 'guerreiro']","['verdad', 'guerr']",verdad guerr
